"TrackId","Name","AlbumId","MediaTypeId","GenreId","Composer","Milliseconds","Bytes","UnitPrice"
"1","Victor Grung","1","1","1","Abbott LLC","1992","-1824500787","0.99"
"2","Matrix","1","1","1","Abbott Kunde","1999","-1178747049","0.99"
"3","Project Chill","1","1","1","Abbott Satterfield","2008","573969676","0.99"
"4","methodical","1","1","1","Abbott Senger","1969","337428985","0.99"
"5","Opela Mann","1","1","1","Nectarinia chalybea","343719","1886000848","0.99"
"6","Karisa Metherell","1","1","1","Nectarinia chalybea","342562","327745193","0.99"
"7","BitChill","1","1","1","Kobus leche robertsi","230619","-1796976324","0.99"
"8","Henry Coolly","1","1","1","AbernathyCorwin","252051","1143853148","0.99"
"9","Aridatha Warman","1","1","1","Kobus leche robertsi","375418","1012545964","0.99"
"10","taskteller","1","1","1","Abshire and Sons","205662","-80160215","0.99"
"11","Emulation Rock","2","2","1","Abshire Inc","233926","2065034053","0.99"
"12","Graphic Interface","3","2","1","Abshire Inc","210834","499340027","0.99"
"13","Della Horn","3","2","1","Abshire-Cremin","203102","1147779466","0.99"
"14","Digitized","3","2","1","Adams Out Loud","263497","-1011063645","0.99"
"15","intangible","4","1","1","Adams Group","199836","-2042132628","0.99"
"16","toolsettunes","4","1","1","Adams Hamill and Senger","263288","1078434515","0.99"
"17","Grassbrassroots","4","1","1","Adams McKenzie and Auer","205688","-193391647","0.99"
"18","ljh","4","1","1","Anderson Group","270863","573590481","0.99"
"19","Latlux","4","1","1","Pytilia melba","331180","23719271","0.99"
"20","Neel Storrs","4","1","1","Pytilia melba","215196","-1999034371","0.99"
"21","Stim Brothers","4","1","1","Columba livia","366654","-957309899","0.99"
"22","Inverse","4","1","1","AndersonMurazik","267728","1585590843","0.99"
"23","freshthinking","5","1","1","Ankunding-Jones","325041","-1379741427","0.99"
"24","artificial intelligence","5","1","1","Armstrong Group","369319","361710279","0.99"
"25","Universal","5","1","1","Armstrong-Waters","254380","1321996063","0.99"
"26","groupware","5","1","1","Aufderhar Inc","323761","407635920","0.99"
"27","Fine Fran","5","1","1","Aufderhar-Raynor","295680","1382176513","0.99"
"28","Maryjane Joannet","5","1","1","Columba livia","321828","764117319","0.99"
"29","Selfenabling","5","1","1","Bahringer Group","264698","361372135","0.99"
"30","Standoveralone","5","1","1","Bahringer LLC","310622","-1887057672","0.99"
"31","Frontline","5","1","1","Braun Steuber and Dietrich","264855","-1728426378","0.99"
"32","Andalax","5","1","1","Junonia genoveua","330736","-1114195953","0.99"
"33","Lil George","5","1","1","Bailey Inc","309263","179719981","0.99"
"34","Crossgroup","5","1","1","Bartell-Rau","356519","-2069876265","0.99"
"35","Devolved","5","1","1","Bartoletti Group","240718","426732294","0.99"
"36","Phineas Budnk","5","1","1","Junonia genoveua","215875","-881981113","0.99"
"37","application","5","1","1","Barton Inc","244375","-1390438033","0.99"
"38","array","6","1","1","Barton Inc","316656","2085986316","0.99"
"39","Mighty Max","6","1","1","Barton-Streich","251036","1422154211","0.99"
"40","Fix San","6","1","1","Corvus albicollis","307617","1331234131","0.99"
"41","collaboration","6","1","1","Bashirian-Wolff","381231","44046855","0.99"
"42","Son Trevascus","6","1","1","Corvus albicollis","284891","1339132901","0.99"
"43","Bitchip","6","1","1","Cacatua tenuirostris","249234","-1416457918","0.99"
"44","Grasspop","6","1","1","Batz Group","188133","506162648","0.99"
"45","Standalone","6","1","1","Batz LLC","221570","1803724633","0.99"
"46","customer loyalty","6","1","1","Batz-Zboncak","176117","1350906433","0.99"
"47","circuit","6","1","1","Bauch Inc","300355","-1548375389","0.99"
"48","Implemented","6","1","1","Bauch Inc","239699","554800233","0.99"
"49","alliance","6","1","1","Bauch-Kilback","267493","-2023810430","0.99"
"50","Riki Worpole","6","1","1","Cacatua tenuirostris","280607","1974213374","0.99"
"51","demanddriven","7","1","1","Beahan Inc","229825","-1501092017","0.99"
"52","didactic","7","1","1","Beahan-Blick","227631","-1930645193","0.99"
"53","incremental","7","1","1","Beahan-Daugherty","293485","627611639","0.99"
"54","optimizing","7","1","1","Beatty Group","491885","46317805","0.99"
"55","Zamit","7","1","1","Sagittarius serpentarius","152084","-288620076","0.99"
"56","Brianne Doige","7","1","1","Sagittarius serpentarius","286641","1159468603","0.99"
"57","exuding","7","1","1","Bechtelar and Sons","349831","-1041550312","0.99"
"58","contingency","7","1","1","Bechtelar LLC","241946","-447111940","0.99"
"59","Optional","7","1","1","Bechtelar LLC","222955","-420031087","0.99"
"60","Fronttechno","7","1","1","Becker-Fadel","387134","752367226","0.99"
"61","contentbased","7","1","1","Bednar Group","277577","1301951295","0.99"
"62","next generation","7","1","1","Bednar-Jerde","284969","-593504614","0.99"
"63","Matsoft","8","1","2","Laniarius ferrugineus","196231","896655117","0.99"
"64","toolsetframed","8","1","2","Beer LLC","344163","1526470767","0.99"
"65","tertiary","8","1","2","Beier and Sons","261955","-329431701","0.99"
"66","coherent","8","1","2","Beier LLC","243879","1011352659","0.99"
"67","Triplebuffered","8","1","2","Beier-Morissette","185338","-1520817801","0.99"
"68","Viola Rama","8","1","2","Laniarius ferrugineus","285048","367513286","0.99"
"69","Adaptive","8","1","2","Berge-Abshire","137273","-687800493","0.99"
"70","Centralized","8","1","2","Berge-Murray","169900","863762595","0.99"
"71","Advanced","8","1","2","Bergnaum Inc","251977","1447462671","0.99"
"72","challenge","8","1","2","Bergnaum-Homenick","129227","950985535","0.99"
"73","Zaam-Dox","8","1","2","Tachybaptus ruficollis","253178","-1699528483","0.99"
"74","Jon Hartzenberg","8","1","2","Tachybaptus ruficollis","134948","815821470","0.99"
"75","conglomeration","8","1","2","Bergstrom-Ebert","219663","-1877891853","0.99"
"76","application","8","1","2","Bernhard Inc","169508","1191267355","0.99"
"77","support","9","1","3","Bernhard LLC","205662","1297074328","0.99"
"78","Zaam-Dox","9","1","3","Hystrix cristata","126511","-1458257109","0.99"
"79","attitudefocused","9","1","3","Bernier and Sons","366837","2066256278","0.99"
"80","website","9","1","3","Bernier Inc","271856","-63821690","0.99"
"81","Graphic Interface","9","1","3","Bernier-Powlowski","221701","273845035","0.99"
"82","internet solution","9","1","3","Bins Inc","436453","-20234363","0.99"
"83","Wilmette Kingsford","9","1","3","Hystrix cristata","374543","-534322343","0.99"
"84","conglomeration","9","1","3","Blick Inc","322925","656066157","0.99"
"85","complexity","10","1","1","Block Inc","288208","1805226029","0.99"
"86","Flowdesk","10","1","1","Sceloporus magister","308035","-756609628","0.99"
"87","moderator","10","1","1","Bode-Kuhn","369345","1323853488","0.99"
"88","Wally Sybe","10","1","1","Sceloporus magister","350197","-782476744","0.99"
"89","Customizable","10","1","1","Boehm-Stracke","222380","111334985","0.99"
"90","fullrange","10","1","1","Bogan and Sons","277890","-953077233","0.99"
"91","Alphazap","10","1","1","Dendrocygna viduata","279457","-1380649944","0.99"
"92","Patti Serjeant","10","1","1","Dendrocygna viduata","249391","855857819","0.99"
"93","homogeneous","10","1","1","Bosco Inc","294034","-1637343421","0.99"
"94","Ventosanzap","10","1","1","Tamiasciurus hudsonicus","263262","30133259","0.99"
"95","encryption","10","1","1","Botsford-Roberts","343457","-1841395955","0.99"
"96","Theobald Dragon","10","1","1","Tamiasciurus hudsonicus","334942","802576075","0.99"
"97","architecture","10","1","1","Stroma Predovic and Rolfson","206053","-680653955","0.99"
"98","dynamic","10","1","1","Boyle-Greenholt","206628","-1416655503","0.99"
"99","access","11","1","4","Bradtke LLC","329534","-951926671","0.99"
"100","zero administration","11","1","4","Bradtke LLC","303595","-1388849418","0.99"
